# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	ERR526049
READS_UNMAPPED	15742609.0000000000
UniRef90_J7TG29	1262.9965526501
UniRef90_J7TG29|unclassified	1262.9965526501
UniRef90_A0A069RJB6	884.9234520770
UniRef90_A0A069RJB6|unclassified	884.9234520770
UniRef90_A0A192CDZ5	587.0904631847
UniRef90_A0A192CDZ5|unclassified	587.0904631847
UniRef90_A0A174I5P4	526.9173756894
UniRef90_A0A174I5P4|s__Phocaeicola_vulgatus.t__SGB1814	526.9173756894
UniRef90_D7GTN1	491.2716462582
UniRef90_D7GTN1|s__Bifidobacterium_longum.t__SGB17248	491.2716462582
UniRef90_A0A416QK53	451.0391098140
UniRef90_A0A416QK53|unclassified	451.0391098140
UniRef90_A0A173U7U4	444.7037815768
UniRef90_A0A173U7U4|s__Phocaeicola_vulgatus.t__SGB1814	444.7037815768
UniRef90_I8ZNQ1	421.1694477034
UniRef90_I8ZNQ1|s__Phocaeicola_vulgatus.t__SGB1814	170.4493578225
UniRef90_I8ZNQ1|s__Bacteroides_caccae.t__SGB1877	102.2696146935
UniRef90_I8ZNQ1|s__Parabacteroides_distasonis.t__SGB1934	68.1797431290
UniRef90_I8ZNQ1|s__Bacteroides_uniformis.t__SGB1836	46.1808604938
UniRef90_I8ZNQ1|s__Bacteroides_faecis.t__SGB1860	34.0898715645
UniRef90_A0A174QXS4	416.6513800709
UniRef90_A0A174QXS4|s__Phocaeicola_vulgatus.t__SGB1814	245.8703030444
UniRef90_A0A174QXS4|s__Bacteroides_caccae.t__SGB1877	170.7810770265
UniRef90_R9IFF8	407.8769100393
UniRef90_R9IFF8|unclassified	407.8769100393
UniRef90_D6DFQ9	390.0120803065
UniRef90_D6DFQ9|unclassified	390.0120803065
UniRef90_A0A396ABH4	373.8148737937
UniRef90_A0A396ABH4|s__Bacteroides_caccae.t__SGB1877	205.2167134551
UniRef90_A0A396ABH4|s__Bacteroides_faecis.t__SGB1860	168.5981603386
UniRef90_K1V5J3	359.9775327763
UniRef90_K1V5J3|unclassified	359.9775327763
UniRef90_C4ZDX9	359.6709542764
UniRef90_C4ZDX9|s__Phocaeicola_vulgatus.t__SGB1814	359.6709542764
UniClust90_25416-LHPMNDHK_01584	358.7130372449
UniClust90_25416-LHPMNDHK_01584|unclassified	358.7130372449
UniRef90_A7B1P5	352.3711151141
UniRef90_A7B1P5|s__Bacteroides_faecis.t__SGB1860	352.3711151141
UniRef90_A0A173SR92	344.7478940389
UniRef90_A0A173SR92|s__Phocaeicola_vulgatus.t__SGB1814	267.2586735377
UniRef90_A0A173SR92|s__Bacteroides_faecis.t__SGB1860	77.4892205012
UniRef90_A0A174HW30	331.1891863464
UniRef90_A0A174HW30|unclassified	331.1891863464
UniClust90_12290-LMJGEGCL_02369	325.4577562975
UniClust90_12290-LMJGEGCL_02369|unclassified	325.4577562975
UniRef90_D1NFR0	312.5921632420
UniRef90_D1NFR0|unclassified	312.5921632420
UniRef90_UPI00068E78F9	308.0849162148
UniRef90_UPI00068E78F9|unclassified	308.0849162148
UniClust90_5287-MNAELPCH_00680	306.8259058206
UniClust90_5287-MNAELPCH_00680|unclassified	306.8259058206
UniRef90_K7ZQ45	306.0324888754
UniRef90_K7ZQ45|s__Bacteroides_faecis.t__SGB1860	107.6385587576
UniRef90_K7ZQ45|s__Phocaeicola_vulgatus.t__SGB1814	73.7493295276
UniRef90_K7ZQ45|s__Parabacteroides_distasonis.t__SGB1934	68.7469434145
UniRef90_K7ZQ45|s__Bacteroides_uniformis.t__SGB1836	55.8976571757
UniRef90_A0A1Q6H6K4	301.1334160552
UniRef90_A0A1Q6H6K4|s__Bacteroides_uniformis.t__SGB1836	90.5067738797
UniRef90_A0A1Q6H6K4|s__Phocaeicola_vulgatus.t__SGB1814	70.9548457321
UniRef90_A0A1Q6H6K4|s__Parabacteroides_distasonis.t__SGB1934	70.0550296078
UniRef90_A0A1Q6H6K4|s__Bacteroides_faecis.t__SGB1860	69.6167668357
UniClust90_66051-JOGKDMOD_01567	294.8576698583
UniClust90_66051-JOGKDMOD_01567|unclassified	294.8576698583
UniClust90_6499-PGOFAMBF_00893	288.8054588351
UniClust90_6499-PGOFAMBF_00893|unclassified	288.8054588351
UniRef90_K1RPC7	282.5472102395
UniRef90_K1RPC7|unclassified	282.5472102395
UniClust90_4480-ABHAODPK_01339	280.1372284458
UniClust90_4480-ABHAODPK_01339|unclassified	280.1372284458
UniRef90_I9QR19	276.2549157390
UniRef90_I9QR19|s__Parabacteroides_distasonis.t__SGB1934	126.6903432118
UniRef90_I9QR19|s__Bacteroides_uniformis.t__SGB1836	118.8747283453
UniRef90_I9QR19|s__Bacteroides_faecis.t__SGB1860	30.6898441820
UniRef90_C7G8V1	273.0566650424
UniRef90_C7G8V1|unclassified	273.0566650424
UniRef90_J7Q6B1	272.7189725161
UniRef90_J7Q6B1|s__Escherichia_coli.t__SGB10068	272.7189725161
UniRef90_D4MZM8	267.2811967178
UniRef90_D4MZM8|unclassified	267.2811967178
UniRef90_A0A1C5P4Q4	264.1961725627
UniRef90_A0A1C5P4Q4|unclassified	264.1961725627
UniRef90_B3C6C9	257.6208910841
UniRef90_B3C6C9|s__Bacteroides_faecis.t__SGB1860	119.7657260597
UniRef90_B3C6C9|s__Phocaeicola_vulgatus.t__SGB1814	82.1466626788
UniRef90_B3C6C9|s__Parabacteroides_distasonis.t__SGB1934	29.4106879663
UniRef90_B3C6C9|s__Bacteroides_uniformis.t__SGB1836	26.2978143793
UniRef90_A0A174P4L7	249.6491164483
UniRef90_A0A174P4L7|s__Bacteroides_faecis.t__SGB1860	93.7175448617
UniRef90_A0A174P4L7|s__Bacteroides_uniformis.t__SGB1836	54.5181226527
UniRef90_A0A174P4L7|s__Phocaeicola_vulgatus.t__SGB1814	51.7698287751
UniRef90_A0A174P4L7|s__Parabacteroides_distasonis.t__SGB1934	49.6436201588
UniClust90_15313-BPDAJOLM_01745	247.3755161238
UniClust90_15313-BPDAJOLM_01745|unclassified	247.3755161238
UniRef90_A0A174V1A4	246.8850927752
UniRef90_A0A174V1A4|s__Phocaeicola_vulgatus.t__SGB1814	246.8850927752
UniRef90_A0A1E3AQL8	244.9608321213
UniRef90_A0A1E3AQL8|unclassified	244.9608321213
UniClust90_10119-GLGLNKBP_00463	242.0093064735
UniClust90_10119-GLGLNKBP_00463|unclassified	242.0093064735
UniRef90_A0A1C6FIR9	242.0092461898
UniRef90_A0A1C6FIR9|unclassified	242.0092461898
UniClust90_59804-AJLFBMLO_01518	241.0768461179
UniClust90_59804-AJLFBMLO_01518|unclassified	241.0768461179
UniRef90_D4KLR4	240.6858503284
