src_idx,dst_idx,src_accession,dst_accession,pmi_weight
0,73,A0AAJI0Y8,Q9479T6B,2.014903
73,0,Q9479T6B,A0AAJI0Y8,2.014903
0,147,A0AAJI0Y8,Q9C1HH5V,1.609438
147,0,Q9C1HH5V,A0AAJI0Y8,1.609438
0,9,A0AAJI0Y8,Q9Y41IBU,1.4916549
9,0,Q9Y41IBU,A0AAJI0Y8,1.4916549
0,119,A0AAJI0Y8,O0Z3NX3J,1.4916549
119,0,O0Z3NX3J,A0AAJI0Y8,1.4916549
0,17,A0AAJI0Y8,A0A5KXVFK,1.4552872
17,0,A0A5KXVFK,A0AAJI0Y8,1.4552872
0,137,A0AAJI0Y8,A0AQC1IYZ,1.4552872
137,0,A0AQC1IYZ,A0AAJI0Y8,1.4552872
0,8,A0AAJI0Y8,A0AVG0FN9,1.3862944
8,0,A0AVG0FN9,A0AAJI0Y8,1.3862944
0,50,A0AAJI0Y8,O0M35IXZ,1.3862944
50,0,O0M35IXZ,A0AAJI0Y8,1.3862944
0,160,A0AAJI0Y8,A0A8VMUH4,1.3862944
160,0,A0A8VMUH4,A0AAJI0Y8,1.3862944
0,40,A0AAJI0Y8,A0A7EEDTR,1.2039728
40,0,A0A7EEDTR,A0AAJI0Y8,1.2039728
0,55,A0AAJI0Y8,Q9NCXLLH,1.2039728
55,0,Q9NCXLLH,A0AAJI0Y8,1.2039728
0,68,A0AAJI0Y8,A0AZIM6CJ,1.2039728
68,0,A0AZIM6CJ,A0AAJI0Y8,1.2039728
0,117,A0AAJI0Y8,Q9QRL1NU,1.2039728
117,0,Q9QRL1NU,A0AAJI0Y8,1.2039728
0,35,A0AAJI0Y8,A0AWPVS7N,1.2039728
35,0,A0AWPVS7N,A0AAJI0Y8,1.2039728
0,96,A0AAJI0Y8,Q9FUK9E0,1.2039728
96,0,Q9FUK9E0,A0AAJI0Y8,1.2039728
1,11,A0AVBDIV9,O05XFF08,1.3752445
11,1,O05XFF08,A0AVBDIV9,1.3752445
1,70,A0AVBDIV9,O0C3O18B,1.3062516
70,1,O0C3O18B,A0AVBDIV9,1.3062516
1,152,A0AVBDIV9,P0Q8CROG,1.2780808
152,1,P0Q8CROG,A0AVBDIV9,1.2780808
1,172,A0AVBDIV9,O0UZPEAU,1.2780808
172,1,O0UZPEAU,A0AVBDIV9,1.2780808
1,100,A0AVBDIV9,O0KIZZQO,1.2417132
100,1,O0KIZZQO,A0AVBDIV9,1.2417132
1,150,A0AVBDIV9,P0AJEPEE,1.2417132
150,1,P0AJEPEE,A0AVBDIV9,1.2417132
1,145,A0AVBDIV9,P0CJ883F,1.192923
145,1,P0CJ883F,A0AVBDIV9,1.192923
1,178,A0AVBDIV9,O011Q7UU,1.192923
178,1,O011Q7UU,A0AVBDIV9,1.192923
1,194,A0AVBDIV9,P0YUP126,1.1239301
194,1,P0YUP126,A0AVBDIV9,1.1239301
1,45,A0AVBDIV9,Q9PBN78C,1.0593916
45,1,Q9PBN78C,A0AVBDIV9,1.0593916
1,8,A0AVBDIV9,A0AVG0FN9,1.0185696
8,1,A0AVG0FN9,A0AVBDIV9,1.0185696
1,15,A0AVBDIV9,A0AYTJXE1,1.0185696
15,1,A0AYTJXE1,A0AVBDIV9,1.0185696
1,50,A0AVBDIV9,O0M35IXZ,1.0185696
50,1,O0M35IXZ,A0AVBDIV9,1.0185696
1,211,A0AVBDIV9,P0BXK5BV,1.0185696
211,1,P0BXK5BV,A0AVBDIV9,1.0185696
1,66,A0AVBDIV9,O03T60RQ,1.0185696
66,1,O03T60RQ,A0AVBDIV9,1.0185696
2,109,Q9ZZPQKA,O0DJE15A,1.5888187
109,2,O0DJE15A,Q9ZZPQKA,1.5888187
2,203,Q9ZZPQKA,A0AD6VASP,1.4552872
203,2,A0AD6VASP,Q9ZZPQKA,1.4552872
2,78,Q9ZZPQKA,O0YUHZ1K,1.4552872
78,2,O0YUHZ1K,Q9ZZPQKA,1.4552872
2,28,Q9ZZPQKA,P0Q5C34G,1.3375041
28,2,P0Q5C34G,Q9ZZPQKA,1.3375041
2,136,Q9ZZPQKA,P03J3R3V,1.3011365
136,2,P03J3R3V,Q9ZZPQKA,1.3011365
2,12,Q9ZZPQKA,P00PVN9I,1.2321436
12,2,P00PVN9I,Q9ZZPQKA,1.2321436
2,171,Q9ZZPQKA,P0C5BA7U,1.2321436
171,2,P0C5BA7U,Q9ZZPQKA,1.2321436
2,183,Q9ZZPQKA,O0D6MZSL,1.2321436
183,2,O0D6MZSL,Q9ZZPQKA,1.2321436
2,40,Q9ZZPQKA,A0A7EEDTR,1.0498221
40,2,A0A7EEDTR,Q9ZZPQKA,1.0498221
2,20,Q9ZZPQKA,Q9ERTJ51,1.0498221
20,2,Q9ERTJ51,Q9ZZPQKA,1.0498221
2,103,Q9ZZPQKA,P0PQKOJ8,1.0498221
103,2,P0PQKOJ8,Q9ZZPQKA,1.0498221
2,161,Q9ZZPQKA,Q94MUEKO,1.0498221
161,2,Q94MUEKO,Q9ZZPQKA,1.0498221
2,130,Q9ZZPQKA,O04HNRIW,1.0498221
130,2,O04HNRIW,Q9ZZPQKA,1.0498221
2,33,Q9ZZPQKA,A0ABR7TC6,0.9444616
33,2,A0ABR7TC6,Q9ZZPQKA,0.9444616
2,74,Q9ZZPQKA,A0AXEQBNN,0.8956714
74,2,A0AXEQBNN,Q9ZZPQKA,0.8956714
3,54,Q9ZMF8MF,A0ANUJZA8,1.4916549
54,3,A0ANUJZA8,Q9ZMF8MF,1.4916549
3,135,Q9ZMF8MF,P00GET87,1.3093333
135,3,P00GET87,Q9ZMF8MF,1.3093333
3,23,Q9ZMF8MF,Q9VAZCCC,1.2039728
