sample,accession
S000,A0AVBDIV9
S000,A0ANVQJTA
S000,Q923GDP1
S000,P0Q5C34G
S000,A0AWPVS7N
S000,P064DPJA
S000,A0AE8YFBX
S000,O0XN0GUZ
S000,O0YS280F
S000,Q93FB9WE
S000,O0R7KO60
S000,A0A2FLU7Y
S000,O04GH2MR
S000,Q91N6KV1
S000,P0XFGCA2
S000,P02WX7P8
S000,Q9ZLAOIH
S000,Q95J2O76
S000,Q9QRL1NU
S000,Q99IN4OU
S000,Q9QJJA2S
S000,Q9C89K8Q
S000,O0361I2O
S000,Q9WYZX4G
S000,Q9NN8ZTJ
S000,O0X4W7KX
S000,A0A3DD039
S000,Q94MUEKO
S000,A0AH811KH
S000,P0033IFM
S000,P0FCPKJD
S000,P0QS3D62
S000,O0B5M9JD
S001,Q9Y41IBU
S001,O06QICA9
S001,O0Q0Y9DZ
S001,Q9OR56FA
S001,O0J2QP89
S001,A0AWPVS7N
S001,A0AE8YFBX
S001,P0FZNBQM
S001,A0ADP0LV6
S001,Q94J1RI2
S001,A0A2UBTXE
S001,P0APRPN3
S001,A0ASGIOTP
S001,P02WX7P8
S001,O0PV60VB
S001,P0ORXO1C
S001,O08XF7KR
S001,A0AQ8MYXV
S001,O08W5RTE
S001,O0361I2O
S001,P00GET87
S001,O037DIA9
S001,O0EBB9EP
S001,P0CJ883F
S001,Q9XVA2II
S001,O0ZP6LFI
S001,P0WVZNVS
S001,O0493WXB
S001,A0AWSQT2C
S001,A0AIPPSFX
S001,O0II826M
S001,O0832EJ4
S001,P0TD44KK
S001,P0QS3D62
S001,P07OONNF
S001,Q9B7R314
S001,O0EKKBP3
S001,A0AYOS0FB
S002,Q9Y41IBU
S002,Q9Q85JSL
S002,O0Q0Y9DZ
S002,A0AXTAD1P
S002,P0W9XA3T
S002,P0HID250
S002,Q9NCXLLH
S002,O0XN0GUZ
S002,O0OWGZRP
S002,A0AQ0B8IE
S002,P0APRPN3
S002,A0ASGIOTP
S002,P02WX7P8
S002,P03KKV95
S002,Q99IN4OU
S002,O0Z3NX3J
S002,O08W5RTE
S002,P0NFTU2K
S002,O0361I2O
S002,P00GET87
S002,O0EBB9EP
S002,O0X4W7KX
S002,P02D5EMP
S002,Q9P5O3OG
S002,Q9UOFWB7
S002,A0AF1BCP1
S002,A0ARPETI9
S002,P0033IFM
S002,Q9V1XG15
S002,P0N1YBWV
S002,Q9V7LN2I
S002,P0CSS9TY
S002,A0AMMX3Y4
S002,P09RR7SF
S003,P00PVN9I
S003,Q9Q85JSL
S003,Q9ERTJ51
S003,Q923GDP1
S003,A0AXTAD1P
S003,O0FK8UTU
S003,P064DPJA
S003,O0YS280F
S003,A0A2FLU7Y
S003,O0Q3VLIF
S003,P05IQVNB
S003,Q91N6KV1
S003,O08QOLDK
S003,O0OGN1WD
S003,Q9ZLAOIH
S003,O049ITN6
S003,Q95J2O76
S003,Q99IN4OU
S003,Q9C89K8Q
S003,P09K9XJD
S003,P03J3R3V
S003,P02D5EMP
S003,Q92W37DG
S003,Q9POC50O
S003,Q9V7LN2I
S003,Q9ZBNZ8S
S003,A0AMMX3Y4
S003,O0CV3TLF
S003,Q94YPEIX
S004,O0JH75L5
S004,A0ABR7TC6
S004,P0W9XA3T
S004,P064DPJA
S004,A0AKH2VL2
S004,Q93FB9WE
S004,O0R7KO60
S004,A0AXEQBNN
S004,A0A18HAFI
S004,O0YUHZ1K
S004,O0Q3VLIF
S004,P05IQVNB
S004,Q91N6KV1
S004,P0UC8D1N
S004,O08QOLDK
S004,Q95J2O76
S004,A0ASQ0OXJ
S004,A0AQ8MYXV
S004,A0APY6B2S
S004,P0NFTU2K
S004,Q9QJJA2S
S004,Q9C89K8Q
S004,O04HNRIW
S004,P0AJEPEE
S004,Q94MUEKO
S004,A0AH811KH
S004,P0C5BA7U
S004,Q9POC50O
S004,P0033IFM
S004,P0CX7LXZ
S004,A0AX5WVFL
S004,P0YUP126
S004,O0CV3TLF
S005,Q9ZZPQKA
S005,Q9ERTJ51
S005,O0XN0GUZ
S005,O0R7KO60
S005,O07HV3IT
S005,A0A2UBTXE
S005,P0XNTM99
S005,P0UC8D1N
S005,O0361I2O
S005,Q9XVA2II
S005,P02D5EMP
S005,Q9P5O3OG
S005,A0AH811KH
S005,P0C5BA7U
S005,Q9POC50O
S005,A0AWSQT2C
S005,A0AX5WVFL
S005,O0832EJ4
S005,P0QS3D62
S005,P0IXDU1I
S006,A0AWPVS7N
S006,P0KC1MS8
S006,A0AZIM6CJ
S006,P0APRPN3
S006,A0A5UQPGD
S006,Q9FUK9E0
S006,Q9JEK5RB
S006,A0ASQ0OXJ
S006,Q9QJJA2S
S006,A0AQC1IYZ
S006,O0VOHSMH
S006,A0AH811KH
S006,A0ARPETI9
S006,A0ALUNJ4J
S006,P0QS3D62
S006,A0AYOS0FB
S007,A0AVBDIV9
S007,O05XFF08
S007,A0AYTJXE1
S007,Q971YZOX
S007,O0Q0Y9DZ
S007,P02DGTFL
S007,A0AXTAD1P
S007,Q9OR56FA
S007,A0ABR7TC6
S007,A0A4CC5OP
S007,P0IOYKLE
S007,P01WJ0T1
S007,P0HID250
S007,Q97IF2G0
S007,P0FZNBQM
S007,P07E8G8Q
S007,A0ADP0LV6
S007,Q9XA11D1
S007,O0EQTUL2
S007,Q94J1RI2
S007,Q9NFHOL3
S007,O07HV3IT
S007,Q9P08J38
S007,P05IQVNB
S007,O0XR2DHP
S007,P0MQLIZU
S007,O0KIZZQO
S007,Q9X63CFT
S007,P0ORXO1C
S007,Q9W790PG
S007,A0ALPU0DS
S007,P0DOJENQ
S007,P0AJEPEE
S007,O0QNVQHC
S007,P0Q8CROG
S007,P0BJ17ML
S007,O0VOHSMH
S007,P0033IFM
S007,A0ALUNJ4J
S007,Q9ZBNZ8S
S007,O0W6AHF7
S007,P0CSS9TY
S007,P0IXDU1I
S007,P09RR7SF
S007,P0XLVPYW
S007,Q94YPEIX
S008,A0AVBDIV9
S008,Q9ZBIKCO
S008,A0AVG0FN9
S008,P0CIYHE4
S008,P02DGTFL
S008,P0IOYKLE
S008,A0AE8YFBX
S008,P0KC1MS8
S008,O0XR2DHP
S008,Q9FUK9E0
S008,P0PQKOJ8
S008,A0AIY4VAR
S008,A0A1GSPK1
S008,Q9JEK5RB
S008,P03KKV95
S008,Q9W790PG
S008,Q9C5WI6J
S008,A0ALPU0DS
